Filtering the log data using "senderImagePath CONTAINS "FireWire" OR senderImagePath CONTAINS "MOTU" OR senderImagePath CONTAINS "CoreAudio" OR senderImagePath CONTAINS "AudioHAL""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-05-25 00:37:13.378107+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) Probe
2026-05-25 00:37:13.378331+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) Provider::free
2026-05-25 00:37:13.378423+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) Device::initHardware
2026-05-25 00:37:13.378469+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) Device::StartGuts
2026-05-25 00:37:13.379733+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) FireWireBlockRWCommand::Close
2026-05-25 00:37:13.379740+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) FireWireBlockRWCommand::Open
2026-05-25 00:37:13.379740+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) FireWireRWAddress::Close
2026-05-25 00:37:13.379742+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) FireWireRWAddress::Open
2026-05-25 00:37:13.380431+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) BOX 00000015
2026-05-25 00:37:13.380650+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) Firmware version: 01068000
2026-05-25 00:37:13.380655+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) 828 output prequeue cycles 4 major 1 minor 6
2026-05-25 00:37:13.380658+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) It's a MOTU 828mk3
2026-05-25 00:37:13.380663+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) firmwareVersion 01068000 1 6
2026-05-25 00:37:13.380664+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) 828 output prequeue cycles 4 major 1 minor 6
2026-05-25 00:37:13.385864+0200 0x6de5     Default     0x0                  0      0    kernel: (MOTUFireWireAudio) read bankcontrol 00000000
